Время; ЛинX; ЛинY; ЛинZ; УглX; УглY; УглZ; Крен; Тангаж; Рыск; Север; Восток; Высота; СигналGPS 
2021-03-26 18:29:52.181783;-0.18965527415275574;-0.16296552121639254;9.831865310668945;-0.000527501106262207;-0.0044152140617370605;0.001227855798788369;-0.7954002618789673;1.2101953029632568;55.85567855834962;6187038.719;383135.141;1;EHT+80.878;
2021-03-26 18:29:53.181727;-0.21789926290512085;-0.16168364882469177;9.834659576416016;0.004659593105316162;-0.007368625141680241;-0.0025466086808592085;-0.7950757145881654;1.198935389518738;55.84753036499024;6187041.945;383135.161;1;EHT+84.506;
2021-03-26 18:29:54.181668;-0.2071976661682129;-0.15075400471687317;9.837308883666992;0.001037120935507119;-0.005887449253350497;0.004564225673675537;-0.8010503053665161;1.2122653722763064;55.823680877685554;6187044.765;383135.315;1;EHT+87.931;
2021-03-26 18:29:55.181616;-0.1951155960559845;-0.146571546792984;9.833290100097656;-0.0016182662220671775;-0.0036537654232233767;0.0006020069122314453;-0.8051186800003052;1.2181297540664675;55.81456756591797;6187045.71;383135.411;1;EHT+88.732;
2021-03-26 18:29:56.181560;-0.2086251974105835;-0.15621772408485413;9.833310127258303;-0.0007405877113342285;0.0025331976357847457;0.0008255243883468212;-0.7970528602600098;1.206601619720459;55.80874252319337;6187047.566;383135.951;1;EHT+90.711;
2021-03-26 18:29:57.181505;-0.2125814110040665;-0.15487417578697205;9.846637725830078;0.005678832065314055;-0.0030860304832458496;-0.0002935528464149684;-0.79940003156662;1.2188810110092165;55.79545974731446;6187049.368;383135.915;1;EHT+91.737;
2021-03-26 18:29:58.181448;-0.20170556008815768;-0.16572542488574984;9.837238311767578;0.0028207898139953613;-0.005240738857537509;0.002893805503845215;-0.8001142740249634;1.2271467447280886;55.792442321777344;6187051.425;383136.319;1;EHT+93.728;
2021-03-26 18:29:59.181396;-0.19239717721939087;-0.1437770873308182;9.83726692199707;0.0035136938095092773;-0.0036090614739805464;-0.0035941600799560547;-0.8062436580657959;1.230278730392456;55.79842758178712;6187054.878;383136.571;1;EHT+98.016;
2021-03-26 18:30:00.181330;-0.19103777408599854;-0.15073400735855103;9.851873397827148;-0.0010058284970000388;-0.0010475517483428123;0.0023245811462402344;-0.8086572885513306;1.2231476306915283;55.822288513183594;6187059.874;383136.522;1;EHT+103.588;
2021-03-26 18:30:01.181381;-0.20036818087100985;-0.16427955031394958;9.818517684936523;-0.00015199181507341564;2.9802318749716505e-05;0.001083314302377403;-0.7997614145278931;1.2324130535125732;55.81750106811524;6187062.659;383137.129;1;EHT+106.182;
2021-03-26 18:30:02.181228;-0.19637192785739901;-0.14238215982913974;9.833201408386232;0.0032320613972842693;-0.002954899799078703;-0.0011384485987946393;-0.8009421229362489;1.2338073253631592;55.858055114746094;6187065.86;383137.446;1;EHT+109.566;
2021-03-26 18:30:03.181170;-0.20577889680862427;-0.1684558391571045;9.834580421447756;0.0026360154151916504;-0.00508427619934082;-0.0008597971755079926;-0.7971759438514711;1.2360103130340576;55.92260360717774;6187067.847;383137.878;1;EHT+111.363;
2021-03-26 18:30:04.181116;-0.20854008197784424;-0.1493222713470459;9.837322235107422;0.004656612873077393;-0.004976987838745117;-0.0038281090091913943;-0.800758183002472;1.2305881977081299;56.1282958984375;6187070.72;383137.894;1;EHT+114.890;
2021-03-26 18:30:05.181051;-0.18284367024898532;-0.15742675960063937;9.843742370605469;0.0005334616289474071;-0.0004589558229781687;-0.00039786103297956293;-0.7943249344825746;1.236333250999451;56.962791442871094;6187072.951;383138.188;1;EHT+117.011;
2021-03-26 18:30:06.181006;-0.17887133359909058;-0.1778590977191925;9.829109191894531;0.001309812185354531;0.002627075184136629;-0.002714991802349687;-0.7809114456176758;1.2447113990783691;56.94762802124024;6187074.957;383138.701;1;EHT+119.109;
2021-03-26 18:30:07.180949;-0.1951340138912201;-0.14113478362560275;9.84261703491211;-0.001309812068939209;-0.0019103289814665916;-0.0009864568710327148;-0.7759766578674316;1.257303595542908;56.92723083496094;6187075.638;383138.778;1;EHT+119.047;
2021-03-26 18:30:08.180894;-0.20846402645111084;-0.16851145029067993;9.83857822418213;0.002562999725341797;-0.003503263229504228;-0.0012382864952087402;-0.7622323632240297;1.2763837575912478;56.919513702392585;6187075.87;383139.076;1;EHT+119.802;
2021-03-26 18:30:09.180836;-0.19502975046634677;-0.1534986346960068;9.847892761230469;-0.0030443074647337203;-0.005874038208276034;-0.0027418136596679688;-0.7651044726371766;1.2885777950286865;56.90374755859375;6187078.205;383139.008;1;EHT+122.356;
2021-03-26 18:30:10.180767;-0.1882699728012085;-0.15460807085037231;9.823814392089844;0.0035911805462092166;-0.002169609302654863;-0.00918656587600708;-0.767735481262207;1.2802368402481081;56.89080429077149;6187078.055;383139.151;1;EHT+122.115;
2021-03-26 18:30:11.180726;-0.2112548798322678;-0.14537836611270907;9.847993850708008;-0.0017970801563933494;-0.0037029387895017867;-0.00020712614059448242;-0.7627325654029847;1.284846544265747;56.870323181152344;6187081.785;383138.91;1;EHT+126.978;
2021-03-26 18:30:12.180671;-0.1992684304714203;-0.13696709275245667;9.82003402709961;0.003142655594274402;-0.0014945868169888856;-0.002543628215789795;-0.7532380819320679;1.2880417108535769;56.87424087524415;6187080.368;383139.2;1;EHT+124.587;
2021-03-26 18:30:13.180611;-0.204527422785759;-0.14382576942443848;9.828005790710451;0.004473329056054355;-0.006721914280205966;-0.004684925079345703;-0.7432615756988525;1.2720032930374148;56.87459945678712;6187076.997;383138.913;1;EHT+120.530;
2021-03-26 18:30:14.180557;-0.19243061542510986;-0.16293948888778687;9.835868835449219;0.0026702876202762127;0.0022470953408628707;0.0033661723136901855;-0.7407386302947998;1.2546185255050661;56.87726211547852;6187073.905;383139.008;1;EHT+117.690;
2021-03-26 18:30:15.180503;-0.20182700455188754;-0.1466849148273468;9.841293334960938;-0.003960729110985995;-0.003349781036376953;-0.0035122039262205367;-0.7410437464714051;1.2535210847854616;56.877582550048835;6187074.891;383138.32;1;EHT+118.879;
2021-03-26 18:30:16.180446;-0.20453603565692904;-0.15482853353023532;9.837276458740234;0.0014916060026735067;-0.0010892749996855857;-0.0008478760719299316;-0.7182909250259399;1.2308374643325808;56.88904190063477;6187071.674;383137.939;1;EHT+115.497;
2021-03-26 18:30:17.180391;-0.19092771410942078;-0.1628365367650986;9.838433265686037;0.005500019993633033;0.004233419895172119;-0.0016435984289273622;-0.7211632132530214;1.2277331352233887;56.898033142089844;6187070.643;383138.017;1;EHT+114.656;
2021-03-26 18:30:18.180336;-0.20313681662082675;-0.1520245373249054;9.835947036743164;0.006045400630682708;-0.007024405989795924;-0.005008279345929623;-0.713124454021454;1.2179893255233767;56.90587615966797;6187068.474;383137.679;1;EHT+111.999;
2021-03-26 18:30:19.195905;-0.2084247320890427;-0.16021363437175754;9.831866264343263;0.005045533645898105;-0.0021785499993711714;-0.002238154411315918;-0.7131783962249756;1.2095395326614382;56.91633605957031;6187068.437;383137.483;1;EHT+112.731;
2021-03-26 18:30:20.180228;-0.2003789395093918;-0.1615479588508606;9.823946952819826;0.0020429491996765137;-0.00807046890258789;0.003948809113353492;-0.7142505049705506;1.2103559970855713;56.92796325683594;6187067.107;383137.48;1;EHT+110.784;
2021-03-26 18:30:21.195797;-0.196449875831604;-0.14389294385910034;9.846599578857422;0.0008702278719283641;-0.0027373435441404585;0.0021338462829589844;-0.7210214734077455;1.1997957229614258;56.935943603515625;6187065.595;383137.395;1;EHT+109.204;
2021-03-26 18:30:22.180112;-0.20455113053321838;-0.15211841464042664;9.838628768920898;-0.0014796854229643943;-0.0011935831280425193;-0.0014930961187928915;-0.7068480849266053;1.1982841491699219;56.9447364807129;6187063.868;383137.306;1;EHT+108.118;
2021-03-26 18:30:23.180055;-0.20995186269283297;-0.15348473191261292;9.833325386047365;0.0031173229217529297;-0.000166893019923009;-0.0036254520528018475;-0.7117982506752015;1.1876598596572878;56.96874237060547;6187064.239;383137.467;1;EHT+109.026;
2021-03-26 18:30:24.180002;-0.20570257306098938;-0.1493688672780991;9.842535972595217;0.00240951799787581;-0.0038564209826290607;0.001379847642965615;-0.7049933075904847;1.187956213951111;56.96533966064453;6187066.514;383137.511;1;EHT+110.960;
2021-03-26 18:30:25.179949;-0.22591049969196322;-0.16315874457359314;9.843914031982422;-0.0006616115570068359;0.002014637226238847;0.0024691224098205566;-0.7062315344810487;1.1745867729187012;56.99591064453125;6187063.026;383136.727;1;EHT+107.187;
